Blocks,low_pharm,high_pharm,low_patient,high_patient
199,20532.0106,26679.8191,256.6501324,333.497739
200,20526.4422,26672.5033,256.5805276,333.406292
201,20756.2402,26935.2852,259.4530022,336.691066
202,20749.6169,26926.7772,259.3702109,336.584715
203,20743.0588,26918.353,259.2882353,336.479413
204,20736.5651,26910.0114,259.2070634,336.375143
205,20730.1347,26901.7512,259.1266834,336.27189
206,20723.7667,26893.5712,259.0470838,336.16964
207,20717.4603,26885.4702,258.9682533,336.068378
208,20711.2145,26877.4471,258.8901808,335.968089
209,20705.0284,26869.5008,258.8128554,335.86876
210,20698.9013,26861.6302,258.7362664,335.770377
211,20695.2019,26856.9937,258.6900242,335.712421
212,20689.179,26849.2563,258.6147371,335.615704
213,20683.2126,26841.5915,258.540157,335.519894
214,20677.3019,26833.9984,258.4662739,335.424981
215,20671.4462,26826.476,258.393078,335.33095
216,20665.6448,26819.0231,258.3205599,335.237789
217,20659.8968,26811.639,258.2487102,335.145488
218,20654.2016,26804.3226,258.1775196,335.054033
219,20648.5583,26797.0731,258.1069792,334.963413
220,20642.9664,26789.8894,258.03708,334.873617
221,20684.6234,26847.4766,258.5577927,335.593458
222,20678.9194,26840.1306,258.4864926,335.501633
223,20673.2666,26832.8505,258.4158319,335.410632
224,20667.6642,26825.6354,258.3458022,335.320443
225,20662.1116,26818.4844,258.2763949,335.231056
226,20656.6081,26811.3968,258.2076019,335.142459
227,20651.1532,26804.3715,258.1394149,335.054644
228,20645.7461,26797.4079,258.0718261,334.967599
229,20640.3862,26790.5051,258.0048276,334.881314
230,20635.0729,26783.6623,257.9384117,334.795779
231,20643.7342,26798.2893,258.0466779,334.978617
232,20638.4523,26791.472,257.9806542,334.8934
233,20633.2158,26784.7132,257.9151972,334.808915
234,20628.024,26778.0121,257.8502996,334.725151
235,20622.8763,26771.3681,257.7859543,334.642101
236,20617.7724,26764.7804,257.7221544,334.559755
237,20612.7114,26758.2482,257.6588928,334.478103
238,20607.693,26751.771,257.5961629,334.397138
239,20602.7166,26745.348,257.5339579,334.31685
240,20597.7817,26738.9785,257.4722713,334.237231
241,20636.1692,26791.9979,257.9521149,334.899974
242,20631.1368,26785.4883,257.8892101,334.818604
243,20626.1459,26779.0322,257.8268231,334.737903
244,20621.1958,26772.6291,257.7649475,334.657864
245,20616.2862,26766.2782,257.703577,334.578478
246,20611.4164,26759.979,257.6427054,334.499737
247,20606.5861,26753.7308,257.5823267,334.421635
248,20601.7948,26747.5329,257.5224349,334.344162
249,20597.0419,26741.3849,257.4630242,334.267311
250,20592.3271,26735.286,257.4040888,334.191075
251,20600.4686,26748.9402,257.505857,334.361753
252,20595.7775,26742.8598,257.4472193,334.285747
253,20591.1236,26736.8274,257.3890452,334.210343
254,20586.5063,26730.8425,257.3313292,334.135531
255,20581.9253,26724.9046,257.2740658,334.061307
256,20577.38,26719.013,257.2172498,333.987663
257,20572.8701,26713.1673,257.1608759,333.914591
258,20568.3951,26707.3669,257.104939,333.842087
259,20563.9547,26701.6113,257.0494341,333.770142
260,20559.5485,26695.9,256.9943562,333.69875
261,20595.1409,26745.0217,257.4392613,334.312771
262,20590.6493,26739.1883,257.3831159,334.239854
263,20586.1918,26733.3992,257.3273974,334.16749
264,20581.7681,26727.654,257.2721011,334.095676
265,20577.3778,26721.9522,257.2172221,334.024403
266,20573.0205,26716.2932,257.1627557,333.953665
267,20568.6958,26710.6767,257.1086973,333.883458
268,20564.4034,26705.102,257.0550424,333.813775
269,20560.1429,26699.5688,257.0017863,333.74461
270,20555.914,26694.0765,256.9489248,333.675957
271,20553.5613,26691.0849,256.9195161,333.638561
272,20549.3877,26685.6642,256.8673457,333.570803
273,20545.2446,26680.2833,256.8155575,333.503541
274,20541.1318,26674.9416,256.7641473,333.43677
275,20537.0489,26669.6388,256.713111,333.370485
276,20532.9956,26664.3744,256.6624445,333.30468
277,20528.9715,26659.148,256.6121439,333.23935
278,20524.9764,26653.9592,256.5622051,333.17449
279,20530.7501,26664.1452,256.6343761,333.301815
280,20526.7772,26658.9756,256.5847147,333.237195
281,20559.9529,26704.7325,256.9994117,333.809156
282,20555.9046,26699.4557,256.948808,333.743196
283,20551.885,26694.2161,256.8985619,333.677702
284,20547.8936,26689.0135,256.8486697,333.612669
285,20543.9302,26683.8474,256.7991276,333.548092
286,20539.9946,26678.7174,256.7499319,333.483967
287,20536.0863,26673.6231,256.7010791,333.420289
288,20532.2052,26668.5642,256.6525655,333.357053
289,20528.351,26663.5404,256.6043876,333.294255
290,20524.5234,26658.5511,256.556542,333.231889
291,20522.4402,26655.8872,256.5305029,333.19859
292,20518.659,26650.9583,256.4832381,333.136979
293,20514.9037,26646.0631,256.4362959,333.075789
294,20511.1738,26641.2012,256.389673,333.015016
295,20507.4693,26636.3723,256.3433662,332.954654
296,20503.7898,26631.576,256.2973723,332.8947
297,20500.135,26626.812,256.2516881,332.83515
298,20496.5048,26622.08,256.2063105,332.776
299,20492.8989,26617.3796,256.1612364,332.717245
300,20489.317,26612.7106,256.1164628,332.658882
301,20538.4694,26684.0138,256.7308669,333.550173
302,20534.7603,26679.1551,256.6845037,333.489438
303,20531.0757,26674.3284,256.6384464,333.429105
304,20527.4154,26669.5334,256.5926922,333.369168
305,20523.779,26664.7699,256.547238,333.309624
306,20520.1665,26660.0376,256.502081,333.25047
307,20516.5774,26655.336,256.457218,333.191701
308,20513.0117,26650.665,256.4126464,333.133313
309,20509.4691,26646.0243,256.3683633,333.075303
310,20505.9493,26641.4134,256.3243659,333.017668
311,20504.0598,26638.9759,256.3007479,332.987199
312,20500.5799,26634.4172,256.2572493,332.930215
313,20497.1223,26629.8876,256.2140286,332.873596
314,20493.6867,26625.3869,256.1710831,332.817337
315,20490.2728,26620.9148,256.1284104,332.761435
316,20486.8806,26616.471,256.0860077,332.705887
317,20483.5098,26612.0552,256.0438726,332.65069
318,20480.1602,26607.6672,256.0020024,332.59584
319,20476.8316,26603.3067,255.9603948,332.541334
320,20473.5238,26598.9734,255.9190472,332.487168
321,20502.7314,26639.2155,256.2841423,332.990193
322,20499.3637,26634.7976,256.2420461,332.93497
323,20496.0168,26630.4071,256.2002106,332.880089
324,20492.6907,26626.0437,256.1586333,332.825547
325,20497.7465,26634.8738,256.2218311,332.935923
326,20494.4354,26630.5235,256.1804425,332.881544
327,20491.1446,26626.1998,256.1393071,332.827497
328,20487.8738,26621.9024,256.0984226,332.77378
329,20484.6229,26617.6312,256.0577865,332.72039
330,20481.3917,26613.3859,256.0173968,332.667323
331,20479.6907,26611.1803,255.9961332,332.639753
332,20476.4938,26606.9799,255.9561725,332.587249
333,20473.3161,26602.8048,255.9164518,332.53506
334,20470.1575,26598.6547,255.8769689,332.483184
335,20467.0177,26594.5294,255.8377217,332.431617
336,20463.8967,26590.4286,255.7987081,332.380357
337,20460.7941,26586.3521,255.7599261,332.329402
338,20457.7099,26582.2998,255.7213736,332.278748
339,20454.6439,26578.2714,255.6830485,332.228392
340,20451.5959,26574.2667,255.6449488,332.178333
341,20479.1548,26612.2209,255.9894346,332.652761
342,20476.0529,26608.1404,255.9506619,332.601754
343,20472.9692,26604.0836,255.9121152,332.551045
344,20469.9034,26600.0504,255.8737927,332.50063
345,20466.8554,26596.0406,255.8356923,332.450507
346,20463.825,26592.0539,255.7978122,332.400674
347,20460.812,26588.0903,255.7601504,332.351129
348,20457.8164,26584.1494,255.722705,332.301868
349,20454.8379,26580.2311,255.6854743,332.252889
350,20451.8765,26576.3352,255.6484563,332.20419
351,20458.0986,26586.5522,255.7262325,332.331903
352,20455.1447,26582.6605,255.689309,332.283256
353,20452.2076,26578.7908,255.6525947,332.234886
354,20449.287,26574.943,255.6160879,332.186788
355,20446.3829,26571.1169,255.5797867,332.138961
356,20443.4952,26567.3123,255.5436894,332.091403
357,20440.6236,26563.5289,255.5077944,332.044112
358,20437.768,26559.7668,255.4720999,331.997084
359,20434.9283,26556.0255,255.4366043,331.950319
360,20432.1045,26552.3051,255.4013058,331.903814
361,20458.1905,26588.2175,255.7273814,332.352718
362,20455.318,26584.4286,255.6914747,332.305358
363,20452.4613,26580.6607,255.6557659,332.258259
364,20449.6203,26576.9135,255.6202533,332.211418
365,20446.7948,26573.1868,255.5849352,332.164834
366,20443.9848,26569.4804,255.5498102,332.118505
367,20441.1901,26565.7943,255.5148765,332.072428
368,20438.4106,26562.1282,255.4801328,332.026602
369,20435.6462,26558.4819,255.4455773,331.981024
370,20432.8967,26554.8554,255.4112086,331.935693
371,20431.5097,26553.0454,255.3938716,331.913067
372,20428.7861,26549.453,255.3598267,331.868162
373,20433.3627,26557.3521,255.4170333,331.966901
374,20430.6487,26553.7674,255.3831086,331.922092
375,20427.9492,26550.2018,255.3493647,331.877522
376,20425.264,26546.6551,255.3158004,331.833189
377,20422.5931,26543.1273,255.2824141,331.789092
378,20419.9364,26539.6182,255.2492044,331.745227
379,20417.2936,26536.1275,255.21617,331.701594
380,20414.6648,26532.6553,255.1833095,331.658191
381,20439.4272,26566.734,255.4928404,332.084175
382,20436.7542,26563.1998,255.4594276,332.039998
383,20434.0951,26559.6841,255.4261893,331.996051
384,20431.4499,26556.1866,255.3931242,331.952333
385,20428.8185,26552.7074,255.3602308,331.908842
386,20426.2006,26549.2461,255.3275078,331.865576
387,20423.5963,26545.8028,255.294954,331.822534
388,20421.0054,26542.3771,255.2625679,331.779714
389,20418.4279,26538.9692,255.2303484,331.737114
390,20415.8635,26535.5786,255.1982941,331.694733
391,20414.5911,26533.9105,255.1823884,331.673881
392,20412.0496,26530.5502,255.15062,331.631877
